Items;Support
['Мыло жидкое', 'Мыло кусковое'];8.166259168704157
['Мыло кусковое', 'Средство для мытья посуды'];6.405867970660147
['Чистящий порошок универсальный', 'Микроспрей'];6.405867970660147
['Сода кальцинированная', 'Чистящий порошок универсальный'];4.69437652811736
['Микроспрей', 'Мыло кусковое'];4.449877750611247
['Кондиционер для белья', 'Стиральный порошок-автомат'];3.863080684596577
['Чистящий порошок универсальный', 'Зубная паста'];3.765281173594132
['Чистящий порошок универсальный', 'Средство от накипи'];3.7163814180929093
['Гель для туалетов', 'Стиральный порошок ручной'];3.227383863080685
['Гель для туалетов', 'Мыло жидкое'];3.227383863080685
['Микроспрей', 'Освежитель воздуха'];3.227383863080685
['Гель для туалетов', 'Микроспрей'];3.031784841075795
['Гель для туалетов', 'Мыло кусковое'];2.73838630806846
['Мыло кусковое', 'Отбеливатель'];2.640586797066015
['Освежитель воздуха', 'Запасной баллон для освежителя'];2.5916870415647923
['Освежитель воздуха', 'Бумажное полотенце'];2.54278728606357
['Салфетки бумажные', 'Освежитель воздуха'];2.444987775061125
['Зубная паста', 'Освежитель воздуха'];2.3960880195599024
['Гель для туалетов', 'Сода кальцинированная'];2.34718826405868
['Микроспрей', 'Стиральный порошок ручной'];2.34718826405868
['Микроспрей', 'Средство для ухода за мебелью'];2.249388753056235
['Микроспрей', 'Антистатик спрей'];2.249388753056235
['Сода кальцинированная', 'Микроспрей'];2.2004889975550124
['Средство для чистки плит', 'Средство для мытья посуды'];2.15158924205379
['Микроспрей', 'Средство для мытья пола'];2.1026894865525674
['Микроспрей', 'Стиральный порошок-автомат'];2.053789731051345
['Микроспрей', 'Мыло жидкое'];2.053789731051345
['Чистящий порошок универсальный', 'Средство для чистки кафеля'];2.053789731051345
['Отбеливатель', 'Пятновыводитель'];2.0048899755501224
